Citation All,h-index All,i10-index All,First_Name,Last_Name
5300,27,36,Mason,Malia F.
2546,25,45,Imhoff,Roland
3061,25,37,Tang,Simone
-,-,-,Axt,Jordan R.
-,-,-,McClung,Jennifer Susan
1247,17,25,Buelow,Melissa T.
-,-,-,Chakroff,Alek
-,-,-,Zunick,Peter V.
-,-,-,Cowgill,Colleen M.
-,-,-,Duran,Nicholas D.
434,11,12,Ufkes,Elze G.
189,6,5,Bostyn,Dries H.
51,3,2,Namkoong,Jae-Eun
1962,26,43,Pansu,Pascal
285,9,9,Luttrell,Andrew
41,4,1,Lamer,Sarah Ariel
-,-,-,Locke,Connson C.
398,11,11,Pliskin,Ruthie
-,-,-,Cheung,Elaine O.
1484,21,31,Rennels,Jennifer L.
814,12,13,Sussman,Abigail B.
493,9,8,Haran,Uriel
1642,17,20,Hansen,Jochim
3421,33,64,van Prooijen,Jan-Willem
1130,15,17,Jiang,Yuwei
-,-,-,Eskine,Kendall J.
-,-,-,Agroskin,Dmitrij
1658,23,35,Chen,Zhansheng
10020,47,89,Biernat,Monica
1224,18,23,Franklin,Robert G.
3237,27,40,Tarrant,Mark
-,-,-,SÃ¼ssenbach,Philipp
538,11,12,Kappes,Andreas
-,-,-,Feiler,Daniel C.
-,-,-,West,Tessa V.
2643,25,33,Todd,Andrew R.
284,9,7,Woltin,Karl-Andrew
48,3,2,Does,Serena
6313,34,49,Wheeler,S. Christian
5868,22,32,Tannenbaum,David
1373,18,21,Lehmiller,Justin J.
46077,98,220,Tetlock,Philip E.
6092,25,41,Bliss-Moreau,Eliza
8382,44,73,Adams,Reginald B.
968,13,13,Parks-Stamm,Elizabeth J.
11239,56,119,Maass,Anne
556,10,10,Leliveld,Marijke C.
1224,18,23,Franklin,Robert G.
6731,22,31,LeBel,Etienne P.
1896,17,22,Kang,Sonia K.
416,10,10,Steffel,Mary
-,-,-,Kupor,Daniella M
-,-,-,HÃ¼tter,Mandy
-,-,-,Netemeyer,Richard G
29,2,1,Kwon,Mina
267,4,3,Bastos,Wilson
-,-,-,Wu,Freeman
40722,80,193,Jost,John T.
-,-,-,Monga,Ashwani
-,-,-,Rozenkrants,Bella
-,-,-,Ilyuk,Veronika
-,-,-,Gao,Leilei
341,8,8,Woolley,Kaitlin
1104,14,19,Romero,Marisabel
302,5,4,Brough,Aaron R.
173,4,3,Jhang,Ji Hoon
-,-,-,Richins,Marsha L.
3096,24,28,Bartels,Daniel M.
147,5,4,Faraji-Rad,Ali
5322,28,33,Chernev,Alexander
-,-,-,Shah,Anuj K.
632,10,11,de Langhe,Bart
1251,8,8,Ebert,Jane E. J.
305,6,6,Lee,Hyojin
586,13,16,Chen,Cathy Yi
413,3,2,Blair,Sean
1426,19,25,Clarkson,Joshua J.
441,7,7,Duclos,Rod
125,3,2,Weiss,Liad
-,-,-,Richins,Marsha L.
-,-,-,Mishra,Arul
245,8,8,Van Kerckhove,Anneleen
4872,29,43,Van Ittersum,Koert
1005,10,11,Hong,Jiewen
425,5,5,Chatterjee,Promothesh
249,8,6,Palmeira,Mauricio M.
-,-,-,Cutright,Keisha M.
33049,95,373,King,Dan
18040,60,166,White,Katherine
2006,14,16,Keinan,Anat
-,-,-,Meyers-Levy,Joan
25785,68,576,Wang,Wenbo
978,12,12,Irmak,Caglar
69118,115,1167,Zhang,Ying
10477,38,45,Tuan Pham,Michel
826,11,12,Sela,Aner
1155,11,11,Tanner,Robin J.
11670,36,43,Nelson,Leif D.
6956,39,65,Dewitte,Siegfried
4829,31,36,Zauberman,Gal
-,-,-,Modjadidi,Karima
-,-,-,Eisen,Mitchell L.
-,-,-,Scherr,Kyle C.
-,-,-,Walters,Glenn D.
-,-,-,Newheiser,Anna-Kaisa
-,-,-,Jeandarme,Inge
2362,26,39,Giebels,Ellen
-,-,-,Baguley,Chantelle M.
-,-,-,Holland,Kathryn J.
8887,37,65,Williams,Kirk R.
55,4,1,Hope,Lorraine
-,-,-,Wolfe,Scott E.
-,-,-,Jones,Natalie J.
-,-,-,Hogan,Neil R.
169,8,5,Lowder,Evan M.
-,-,-,Guy,Laura S.
-,-,-,Zelle,Heather
-,-,-,Ruva,Christine L.
-,-,-,Walters,Glenn D.
-,-,-,Richards,Tara N.
-,-,-,Penner,Erika K.
4534,31,72,Wood,Jane L.
-,-,-,Vitacco,Michael J.
600,13,14,Smalarz,Laura
425,11,11,Rabelo,VerÃ³nica Caridad
2272,17,19,Eno Louden,Jennifer
124,7,5,Howard,Philip D.
3291,29,38,Robbennolt,Jennifer K.
-,-,-,Takahashi,Masaru
-,-,-,Gowensmith,W. Neil
-,-,-,Salekin,Randall T.
-,-,-,Wallace,D. Brian
994,15,19,Palmer,Matthew A.
22489,40,62,Levin,Andrew
8887,37,65,Williams,Kirk R.
-,-,-,Monahan,Kathryn C.
-,-,-,McAllister,Hunter A.
440,10,10,Day,Martin V.
-,-,-,Eke,Angela W.
-,-,-,McAuliff,Bradley D.
-,-,-,Beck,Connie J. A.
-,-,-,Odgers,Candice L.
-,-,-,Swanner,Jessica K.
-,-,-,Kahan,Dan M.
129,5,3,Chen,Jingqiu
3336,34,56,van Dijke,Marius
-,-,-,Rockmann,Kevin W.
14451,45,69,Antonakis,John
4068,29,54,Liu,Haiyang
