Citation All,h-index All,i10-index All,First_Name,Last_Name
3066,25,43,Turan,Bulent
-,-,-,Goodin,Burel R.
273,9,8,Palit,Shreela
22485,79,311,Sussman,Steve
-,-,-,O'Carroll,Ronan E.
-,-,-,Belcher,Amber J.
2263,23,31,Doane,Leah D.
-,-,-,Thornton,Lisa M.
3281,14,17,Wills,Thomas A.
-,-,-,Surtees,Paul G.
11294,40,92,Scholz,Urte
4342,26,41,Cingranelli,David
280,11,11,Klein,Nadav
-,-,-,Berkowitsch,Nicolas A. J.
-,-,-,KIM,BYUNGBAE
-,-,-,Horcajo,Javier
-,-,-,Romero,Estrella
-,-,-,Bruning,Patrick F.
34048,77,559,Liu,Dong
2984,19,28,Laurin,Kristin
2996,25,55,Kraus,Florian
1727,19,29,Summers,Barbara
2231,17,18,Wiltermuth,Scott S.
789,14,14,Kausel,Edgar E.
-,-,-,Jack Walker,H.
2820,28,34,Zagenczyk,Thomas J.
-,-,-,Giambatista,Robert C.
2386,15,20,McCarter,Matthew W.
-,-,-,Crossley,Craig D.
242,7,7,Shani,Yaniv
-,-,-,Schulz-Hardt,Stefan
2866,25,36,DeKay,Michael L.
5201,33,47,Rosen,Christopher C.
9313,31,43,Horowitz,Jonathan
24387,77,205,Moen,Phyllis
279,9,8,Braunstein,Ruth
2573,19,22,Rosenfeld,Michael J.
245,4,4,Torfason,Magnus Thor
1337,18,43,Tope,Daniel
430,11,13,Markowitz,Anna J.
-,-,-,Ganley,Colleen M.
6769,45,134,Bertram,Christiane
11261,42,67,Kahne,Joseph
49775,100,719,Dee,Thomas S.
232,8,4,Tekkumru Kisa,Miray
11283,47,87,Goldenberg,Claude
-,-,-,Turner,Julianne C.
14402,53,147,Penuel,William R.
-,-,-,NÃºÃ±ez,Anne-Marie
15062,57,145,Goldhaber,Dan
3685,16,17,Michalopoulos,Stelios
-,-,-,HAN,HAHRIE
911,17,22,Travers,Jason
-,-,-,Crane,Jennifer
1002,17,23,Lemons,Christopher J.
5209,31,76,Chen,Shuai
11249,45,60,Cederman,Lars-Erik
184,8,7,Cornelius,Talea
4288,36,66,Magee,Christopher A.
5058,32,46,Peng,Wei
1791,20,42,Rodrigues,Angela M.
-,-,-,Roest,Annelieke M.
3300,27,47,Calzo,Jerel P.
311,10,11,Keenan,Kate
6767,43,108,Wilson,Dawn K.
2772,29,58,Ferguson,Stuart G.
1154,20,25,Carlin,Ryan E.
2034,20,25,Gallego,Aina
-,-,-,LindstÃ¤dt,RenÃ©
538,12,14,O'Mahony,Angela
53403,80,221,Dalton,Russell
-,-,-,LÃ¶bmann,Rebecca
-,-,-,Brown,Shelley L.
-,-,-,Walters,Glenn D.
11888,60,183,Cooper,David J.
-,-,-,Gong,Binglin
277,9,9,Carr,Evan W.
-,-,-,O'Brien,Daniel Tumminelli
-,-,-,HOEBEN,EVELIEN M.
-,-,-,KUTATELADZE,BESIKI L.
187,3,3,Reyt,Jean-Nicolas
405,8,8,Sun,Shuhua
-,-,-,Tsay,Chia-Jung
1422,16,18,Kouchaki,Maryam
42,3,1,Pernell,Kim
2318,15,18,Bonikowski,Bart
381,5,4,Best,Rachel Kahn
-,-,-,Aisenbrey,Silke
-,-,-,Mathias,Matthew D.
4211,18,23,Kalev,Alexandra
11630,41,79,Walder,AndrewÂ G.
-,-,-,Kumar,Revathy
6317,41,76,Daly,Alan J.
-,-,-,Lesaux,Nonie K.
3791,27,40,Denson,Nida
-,-,-,Wiley,Jennifer
-,-,-,Pham,Yen K.
-,-,-,Kyzar,Kathleen B.
61,3,3,Sonik,Rajan
-,-,-,Boardman,Alison G.
2482,18,21,Miranda,Ana
2560,24,37,Swanson,Elizabeth
5696,40,72,Wanzek,Jeanne
4023,11,11,Genadek,Katie R.
4830,35,78,Zimmer,Zachary
5150,38,78,Cancian,Maria
154,5,5,Kuo,Janet Chen-Lan
27899,56,83,Case,Anne
5150,38,78,Cancian,Maria
993,15,21,Boylan,Jennifer Morozink
121,2,2,Peic,Goran
32,3,1,Holmgren,Mikael
1167,16,24,Song,Miyeon
-,-,-,Lindlbauer,Ivonne
-,-,-,VillabÃ¸,Marianne A.
4253,37,93,Hoffart,Asle
-,-,-,King,Cheryl A.
22061,70,150,Chorpita,Bruce F.
-,-,-,El Alaoui,Samir
365,10,11,Gallo,Kaitlin P.
-,-,-,Rose,Kirsten
23891,81,347,Schmidt,Norman B.
524,9,8,Pfeiffer,Klaus
31524,84,139,Hoza,Betsy
969,9,9,Hukkelberg,Silje S.
9680,46,81,Borsari,Brian
