Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,Fantuzzo,John W.
3466,29,47,Winters,Marcus A.
18224,40,72,Henry,Gary T.
267,9,7,Robinson,Joseph P.
4726,26,32,Licht,Amir N.
9543,47,103,Agarwal,Sumit
-,-,-,Cain,Matthew D.
-,-,-,Eun,Cheol S.
4172,20,21,Cronqvist,Henrik
-,-,-,Fich,Eliezer M.
1288,10,10,Savov,Alexi
2875,26,66,Lee,Jongsub
1803,19,28,Cohen-Cole,Ethan
26815,42,49,Stambaugh,Robert F.
-,-,-,Buell,Ryan W.
5924,35,59,Brandts,Jordi
4627,26,32,Marx,Matt
165,4,3,Alan,Yasin
9930,41,67,Goldfarb,Avi
-,-,-,Novak,Sharon
99,4,1,Richter,Juliane
2406,25,32,Lee,Kerry
-,-,-,Jackson,G. Tanner
-,-,-,Yue,Carole L.
-,-,-,Beike,Suzanne M.
1092,13,14,Mancilla-Martinez,Jeannette
-,-,-,Bulgren,Janis A.
-,-,-,Nguyen,Simone P.
7468,37,58,Rittle-Johnson,Bethany
1285,15,20,Tong,Xiuli
25221,85,232,Trautwein,Ulrich
2406,25,32,Lee,Kerry
-,-,-,MÃ¼ller,Tim S
95,3,3,Czymara,Christian S
-,-,-,Teney,CÃ©line
232,9,7,Griga,D.
353,10,11,Lersch,Philipp M.
773,15,21,Wielers,Rudi
1920,18,21,Schlueter,Elmar
-,-,-,Bonke,J.
362,9,9,Sgourev,S. V.
13893,55,115,Semyonov,M.
53,3,2,Pichler,F.
5544,33,51,Lohmann,H.
-,-,-,TreviÃ±o,Len J.
-,-,-,Bergeron,Diane M.
7190,47,100,Daniels,Kevin
5257,27,31,Gruber,Marc
5201,33,47,Rosen,Christopher C.
1180,11,11,O'Brien,Kimberly E.
12387,39,51,Combs,James G.
1060,16,17,Barsbai,Toman
3016,19,19,Anderson,Siwan
4399,29,39,Ben-David,Itzhak
-,-,-,De Backer,Liesje
-,-,-,LÃ¼ftenegger,Marko
