Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,MÃ¤gi,Katrin
-,-,-,Schmidt-Weigand,Florian
-,-,-,Corbalan,Gemma
2917,27,42,Olive,Thierry
-,-,-,Gorka,Stephanie M.
3910,34,72,Nickerson,Angela
-,-,-,Pe,Madeline L.
2600,24,31,Neshat-Doost,Hamid Taher
13349,59,146,Mullings,Robert
1421,17,28,d'Errico,Marco
446,8,8,Niebel,Thomas
-,-,-,Pasha,Atika
158,6,5,Lim,Sijeong
320,9,8,Patnaik,Unmesh
2433,21,38,Ali,Daniel Ayalew
603,11,12,Ahlerup,Pelle
-,-,-,AndalÃ³n,Mabel
2117,25,37,Kotsadam,Andreas
6910,43,83,Bellon,Mauricio R.
-,-,-,You,Wan-Hai
-,-,-,TrommlerovÃ¡,Sofia Karina
225,5,3,Khonje,Makaiko
1759,22,38,Asadullah,M. Niaz
821,17,23,Barrett,Sam
-,-,-,DinÃ§er,Mehmet Alper
1460,9,9,Aisen,Ari
7443,20,25,Roberts,Peter W.
-,-,-,Brada,Josef C.
4860,39,100,Sen,Kunal
-,-,-,Rudel,Thomas K.
-,-,-,Fu,Xiaolan
-,-,-,Medvedev,Denis
1124,18,27,Durevall,Dick
804,10,10,Bezu,Sosina
466,11,11,Ali,Merima
780,13,15,DeLoach,Stephen B.
-,-,-,Henson,Spencer
-,-,-,Li,Xibao
1228,19,40,Agostini,Claudio A.
2561,25,34,Fisher,Monica
969,16,21,Rijkers,Bob
2174,23,43,Bocquier,Philippe
-,-,-,Ã–zler,Åžule
1576,21,39,Araral,Eduardo
2628,20,52,Freytag,Andreas
-,-,-,CvijanoviÄ‡,Dragana
5114,33,47,Yang,Kaifeng
14465,72,166,Smith,Craig R.
2429,11,12,Cohen,Susan K.
104160,140,1526,Zhao,Wei
19578,55,118,Gambardella,Alfonso
119893,123,273,Alesina,Alberto
1986,13,18,Schmieder,J. F.
4137,35,77,Parish,Susan L.
260,6,5,Solis,Alex
2058,19,23,Williams,Heidi L.
12431,33,41,Olken,BenjaminÂ A.
12831,58,127,Freyer,T.
39064,92,584,Dickson,A.
70971,73,152,Leyman,L.
-,-,-,Flensborg-Madsen,Trine
723,9,9,Pons,Vincent
-,-,-,Echavarri, Rebeca A.
1610,17,22,Cohen,Jessica
5946,19,24,Zhang,Xiaoquan (Michael)
5476,32,66,Tummers,Lars
3450,30,53,Rayner,J.
4799,20,26,DUCHIN,RAN
-,-,-,DONANGELO,ANDRÃ‰S
7835,28,42,BAE,KEE-HONG
-,-,-,Turner,Julianne C.
5193,37,78,Boone,Christophe
1897,17,20,Pfeffer,Fabian T
4163,36,63,Gibson,Christopher L
-,-,-,Alderson,Arthur S.
3448,20,22,Andrews,Kenneth T.
941,12,12,Wang,Dan J.
1793,22,52,Ma,Dali
432,9,9,Kleiner,S.
-,-,-,Curwin,K. D.
54416,106,752,Andrew,M.
7601,47,91,Hipp,J. R.
9833,53,174,Mandel,H.
2645,23,42,Leahey,E.
-,-,-,Cavanagh,S. E.
88,4,4,Bradley,C. L.
708,15,27,Rude,J.
-,-,-,Godart,F. C.
-,-,-,Gamson,David A.
-,-,-,Kalogrides,Demetra
21592,66,175,Calomiris,Charles W.
-,-,-,Boissel,Charles
-,-,-,Frank,Murray Z.
178,6,4,Sen,Rik
322,6,4,Boutin,Xavier
33026,79,785,Lin,Chen
98552,100,193,Roberts,Michael R.
412,11,12,Cookson,J. Anthony
578,9,9,Manconi,Alberto
-,-,-,Qian,Jun â€œQJâ€
36,4,1,Anderson,Joshua D.
46,4,2,Massacci,Daniele
-,-,-,Chatterji,Aaron K.
111,5,4,Beaud,Mickael
-,-,-,Robinson,Adina BÄƒrbulescu
50,3,2,Chang,Wei-Shiun
754,11,11,Brown,Alexander L.
37350,59,133,Bloom,Nicholas
1478,14,16,Lee,Eunkyu
1761,18,22,Subramanian,Ajay
443,12,15,Bennett,Victor Manuel
-,-,-,Dargnies,Marie-Pierre
479,10,11,Jian,Lian
112,7,4,Ching,Andrew T.
4176,19,22,Kuhnen,Camelia M.
-,-,-,Schultz,Kenneth L.
-,-,-,Liu,Yu-Jane
2017,14,16,Girotra,Karan
3710,18,21,Toole,Andrew A.
2050,24,36,Horta,Hugo
-,-,-,Oxley,Joanne E.
811,12,13,Boulding,William
-,-,-,Ryall,Michael D.
10,1,1,Dahl,Malte
2118,19,28,Evertsson,Marie
-,-,-,JÃ¤ckle,Sebastian
77,6,3,VanHeuvelen,Tom
32,4,0,Riekhoff,Aart-Jan
-,-,-,BÃ¶hnke,Petra
-,-,-,Nisic,Natascha
2679,26,63,Hillmert,Steffen
235,9,8,Evensen,Miriam
2065,23,35,McDaniel,Anne
-,-,-,Eicher,VÃ©ronique
-,-,-,SchrÃ¶der,Martin
-,-,-,Buchholz,Sandra
-,-,-,Diewald,Martin
505,11,14,Vogtenhuber,S.
12722,58,139,van Tilburg,Theo G.
-,-,-,BrÃ¶ckel,Miriam
746,12,14,Giesselmann,Marco
-,-,-,Janmaat,J. G.
367,9,8,Rijken,A. J.
1415,21,32,Huijts,T.
546,9,9,Verhaeghe,Pieter-Paul
712,9,9,Begall,K.
886,14,21,Baranowska-Rataj,Anna
1566,22,30,Gebel,M.
1807,22,31,Agirdag,O.
-,-,-,Gundert,S.
20100,42,50,Horvat,P.
73285,98,194,Hansson,J.
13880,30,48,Jonsson,J. O.
35055,99,225,Rooks,G.
2509,15,17,Bolzendahl,C.
21175,36,69,Becker,B.
135,3,2,Gabay-Egozi,L.
596,12,19,Krug,G.
1780,20,31,Wiborg,O. N.
-,-,-,Lazear,Edward P
10114,44,75,Galiani,Sebastian
-,-,-,KÃ¼hl,Tim
3029,31,59,List,Alexandra
321,11,13,Rosman,Tom
262,8,7,Lindner,Marlit Annalena
1201,15,17,Chen,Jason A.
-,-,-,Margulieux,Lauren E.
2365,26,64,Gutierrez,Antonio P.
-,-,-,DubÃ©,Adam K.
1924,21,28,Finn,Bridgid
-,-,-,Dockrell,Julie E.
261,7,7,Renken,Maggie D.
2225,24,34,Matsumura,Lindsay Clare
643,9,9,Fulmer,Sara M.
605,12,14,Obersteiner,Andreas
-,-,-,Protik,Ali E.
155,8,7,Shin,Wonkyu
-,-,-,Burney,Jennifer A.
6952,21,25,Hung,Mingyi
7994,35,48,Boehmer,Ekkehart
1641,14,14,Lou,Dong
1886,16,21,Dam,Lammertjan
506,5,4,Holt,Stephen B.
-,-,-,Jensen,Ulrich Thy
137,4,2,Bouwman,Robin
-,-,-,Kirkpatrick,Ian
-,-,-,Craw,Michael
505,6,5,Fay,Daniel L.
1854,21,31,Grohs,Stephan
2500,25,35,Gazley,Beth
697,8,7,Rabovsky,Thomas
2654,16,20,Royo,Sonia
-,-,-,Witesman,Eva M.
-,-,-,Moynihan,Donald P.
954,11,11,Mohr,Robert
2152,21,25,Musick,K.
-,-,-,Moynihan,Donald P.
-,-,-,Ge,Zi-Gang
261,9,9,Reyes,Vicente Chua
-,-,-,Almerich,Gonzalo
328,10,10,Slof,Bert
1911,11,12,Vekiri,Ioanna
1195,16,16,Fischer,Jason
