Citation All,h-index All,i10-index All,First_Name,Last_Name
14789,22,24,Piccolo,Ronald F.
-,-,-,Hornung,Severin
-,-,-,Griffith,Terri L.
4048,23,33,Luria,Gil
5164,28,37,Wallace,J. Craig
2106,19,29,Triana,MarÃ­a del Carmen
3956,9,8,McKee-Ryan,Frances M.
227,7,7,Wu,David W.-L.
-,-,-,Cameron-Faulkner,Thea
3,1,0,Taufik,Danny
9239,46,78,Costa,Marco
364,8,8,Holmgren,Mattias
5239,22,33,Shernoff,David J.
34120,77,161,Jiang,Bin
7737,20,27,Ratliff,Kate A.
-,-,-,Paundra,Joshua
552,12,14,Meleady,Rose
-,-,-,PaillÃ©,Pascal
-,-,-,Greenwood,Alison
283,4,3,Chuang,Yating
-,-,-,Pereira,DÃ©bora V.S.
572,10,10,Shalev,Idit
-,-,-,Murtagh,Niamh
752,12,14,Long,Jennifer
-,-,-,Hornsey,Matthew J.
821,14,20,Collado,Silvia
-,-,-,Steinhorst,Julia
-,-,-,DoucÃ©,Lieve
892,14,16,Ku,Lisbeth
9742,55,160,Zhang,Jia Wei
359,3,3,Anton,Charis E.
1019,8,8,Kormos,Christine
1165,16,18,Jang,S. Mo
12584,51,78,Poortinga,Wouter
380,3,2,Hurst,Megan
59,3,3,Chan,Lucy
821,14,20,Collado,Silvia
-,-,-,GuÃ©guen,Nicolas
4594,30,121,Andrade,ClÃ¡udia
-,-,-,Honold,Jasmin
-,-,-,Francis,Jacinta
-,-,-,Matthies,Ellen
-,-,-,Gallimore,Jonathan M.
1488,13,14,Davis,Jody L.
-,-,-,Picucci,Luciana
-,-,-,White,Emma V.
772,11,12,Raanaas,Ruth K.
23481,70,137,Andrews,Matthew
-,-,-,Comstock,Nicole
2885,22,30,Hartmann,Patrick
13246,51,85,Devine-Wright,Patrick
-,-,-,Droseltis,Orestis
10054,44,66,Joireman,Jeff
249,6,4,Yatmo,Yandi Andri
-,-,-,Korpela,Kalevi M.
-,-,-,Purciel,Marnie
17842,55,118,Gifford,Robert
698,10,12,Levine,Emma E.
1844,22,33,Cichocka,Aleksandra
553,10,10,DelPriore,Danielle J.
68,5,2,Buil,J. Marieke
477,8,7,TourÃ©-Tillery,Maferima
-,-,-,Chester,David S.
886,8,8,Bhattacharjee,Amit
2157,22,34,Wagner,Jenny
7984,42,74,Tamir,Maya
3301,32,46,Chen,Sylvia Xiaohua
-,-,-,Laukka,Petri
162,8,7,Steinmetz,Janina
190,5,5,Seuntjens,Terri G.
-,-,-,Galla,Brian M.
-,-,-,Jung,Minah H.
310,6,4,Thomas,Kyle A.
1932,20,29,Kesebir,Pelin
3052,25,32,Halevy,Nir
4288,40,81,Hilbig,Benjamin E.
-,-,-,Shallcross,Amanda J.
6694,38,73,Campbell,Lorne
3040,29,47,Obschonka,Martin
762,12,13,Spielmann,Stephanie S.
5835,40,90,Wohl,Michael J. A.
31824,99,343,Young,Steven G.
-,-,-,Torelli,Carlos J.
6031,29,39,Prislin,Radmila
4446,36,67,Richter,Tobias
792,9,9,See,Kelly E.
810,11,11,Noah,Tom
-,-,-,Brown-Iannuzzi,Jazmin L.
1965,14,15,Mills,Mark
1785,17,19,Bruneau,Emile
180,5,2,Rich,Alexander S.
28723,82,319,Chen,Jing
2898,23,33,Cikara,Mina
630,12,13,Ricker,Timothy J.
646,11,11,Jara-Ettinger,Julian
103,6,5,Sun,Sol Z.
1289,19,24,Golkar,Armita
2210,25,51,Vadillo,Miguel A.
2586,21,44,Balas,Benjamin
20185,64,127,Gawronski,Bertram
11433,54,141,Schulze,Christin
1896,23,34,Stein,Timo
-,-,-,Chua,Kao-Wei
-,-,-,FÃ¶rster,Jens
732,12,14,Smith-Greenaway,Emily
1613,17,24,Allendorf,Keera
567,14,15,McFarland,Michael J.
3850,34,52,Turney,Kristin
-,-,-,PotÃ¢rcÄƒ,Gina
5682,41,64,Berger,Lawrence M.
115,5,3,Kim,Erin Hye-Won
436,13,15,Piotrowski,Martin
2380,16,25,Denney,Justin T.
999,20,28,Verbakel,Ellen
1935,22,29,Waller,Maureen R.
-,-,-,Wu,Ed Y.
-,-,-,Frisco,Michelle L.
-,-,-,Bratter,Jenifer L.
2599,32,57,Sandberg,Jonathan G.
1279,19,26,Merz,Eva-Maria
-,-,-,Pai,Manacy
3487,34,69,Fagan,Jay
5337,24,27,Greenstein,Theodore N.
17232,51,87,Magnuson,Katherine
2834,25,34,Ryan,Rebecca M.
-,-,-,Eggebeen,David
313,9,8,Whitler,Kimberly A.
-,-,-,Sharma,Amalesh
588,11,12,Guha,Abhijit
-,-,-,Park,Eunho
148,6,4,Colicev,Anatoli
2274,22,29,Panagopoulos,Nikolaos G.
86479,113,292,Zhang,Cheng
78964,105,819,Liu,Yan
1109,11,13,Hogreve,Jens
1568,17,22,Arora,Sandeep
1030,16,27,Ahmed,Sumaiya
1949,15,19,Dean,Tereza
-,-,-,Liu,Peggy J.
107,6,2,Kim,Junghan
14031,51,81,Fuchs,Christoph
-,-,-,Gilbride,Timothy J.
-,-,-,Ertimur,BurÃ§ak
89,5,4,Hada,Mahima
50726,101,309,Homburg,Christian
-,-,-,Samaha,Stephen A.
-,-,-,Ma,Zhenfeng
-,-,-,Koschate-Fischer,Nicole
867,10,10,Kalaignanam,Kartik
-,-,-,Garnefeld,Ina
284,6,4,Kurt,Didem
81190,123,930,Ma,Yu
5054,28,44,Talukdar,Debabrata
-,-,-,Rust,Roland T.
-,-,-,Torelli,Carlos J.
-,-,-,Robinson,Stefanie Rosen
5913,17,18,Yim,Chi Kin (Bennett)
1883,13,14,Cui,Anna S.
3277,15,20,Slotegraaf,Rebecca J
-,-,-,Landsman,Vardit
-,-,-,Karniouchina,Ekaterina V.
2841,26,43,Bell,David R
314,2,1,Nitzan,Irit
760,13,15,Mishra,Himanshu
22694,73,140,Pieters,Rik
-,-,-,Barone,Michael J.
490,7,7,Saini,Ritesh
2742,18,19,Lam,Son K.
1628,13,14,Li,Shibo
-,-,-,Frazier,Gary L.
4731,16,19,Liu,Yuping
3335,26,33,Kim,Ju-Young
-,-,-,Wiles,Michael A
1420,15,19,Akinola,Modupe
422,9,9,Alves,Hans
1587,21,28,Liu,Yanping
188,9,7,Peng,Yujia
755,13,13,Eisenkraft,Noah
-,-,-,Gale,Catharine R.
7869,48,124,Pezzulo,Giovanni
258,7,6,Cunningham,Corbin A.
922,17,22,Reinhart,Robert M. G.
49,4,2,Barendregt,Martijn
236,7,7,Hill,Matthew Q.
-,-,-,Beall,Alec T.
1130,14,17,FeldmanHall,Oriel
-,-,-,Boehm,Julia K.
414,6,6,Hunt,Lucy L.
-,-,-,Feiler,Daniel C.
2115,16,22,Gold,Jason M.
