Citation All,h-index All,i10-index All,First_Name,Last_Name
1235,14,15,Filippin,Antonio
-,-,-,Cleave,Blair L.
2,1,0,Cabrera,Susana
5802,37,88,Bichler,Martin
1410,14,19,Proto,Eugenio
14529,58,116,Cramton,Peter
-,-,-,LÃ©vy-Garboua,Louis
470,11,13,Rodriguez-Lara,Ismael
-,-,-,EkstrÃ¶m,Mathias
2172,22,36,Mittone,Luigi
422,5,3,Ballinger,T. Parker
153,7,5,Janssen,Marco A.
1549,19,25,DiÂ Mauro,Carmela
18691,65,131,Kagel,John H.
1758,16,18,Bellemare,Charles
2595,24,29,Cadsby,C. Bram
206,4,2,Takeuchi,Kan
4197,24,34,Coricelli,Giorgio
12373,38,69,Barr,Abigail
500,11,13,Goerg,Sebastian J.
4199,29,44,Boone,Jan
62936,58,178,Zhang,Ping
-,-,-,Sherstyuk,Katerina
-,-,-,van de Brake,Hendrik J.
2332,28,47,Lehmann-Willenbrock,Nale
822,14,15,Burtscher,Michael J.
662,12,14,Minbashian,Amirali
87,4,2,Schecter,Aaron
751,8,8,Ozcelik,Hakan
247,6,5,Li,Junchao Jason
3015,25,39,Dahling,Jason J.
574,7,7,King,Scott P.
-,-,-,De Wit,Frank R.C.
106,3,2,Liao,Eko Yi
1186,8,8,Solinger,Omar N.
50971,98,499,Williams,Michele
123,6,3,Hood,Anthony C.
-,-,-,Ragsdale,Jennifer M.
-,-,-,Becker,William J.
-,-,-,Schoen,Jeremy L.
2102,25,50,Zheng,Xiaoming
361,9,9,David,Emily M.
329,8,8,Hu,Xiaoxiao
1357,13,14,Mawritz,Mary B.
-,-,-,Sung,Sun Young
-,-,-,Lin,Xiaowan
-,-,-,Sun,Li-Yun
1841,22,31,Sliter,Michael
-,-,-,Kwon,Kiwook
-,-,-,Wittmer,Jenell L. S.
2106,19,29,del Carmen Triana,MarÃ­a
6985,44,82,Liang,Jian
-,-,-,Kalinoski,Zachary T.
3536,31,54,Gentry,William A.
-,-,-,Wagner,John A.
6192,36,68,Avery,Derek R.
5833,19,21,Johnson,Michael D.
1307,17,19,Taylor,Shannon G.
-,-,-,Janssen,Jana
984,12,13,Ramarajan,Lakshmi
-,-,-,Choi,Kyoosang
89,4,4,Nakai,Yoshie
1697,16,19,Dimotakis,Nikolaos
-,-,-,Golden,Timothy D.
5934,22,23,Fritz,Charlotte
4602,30,39,Fernet,Claude
