Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,Germeijs,Veerle
49,5,2,Georgiou,George K.
-,-,-,Carr,Martha
10588,39,57,Linnenbrink-Garcia,Lisa
-,-,-,Yeung,Alexander Seeshing
-,-,-,Wehrens,Maike J.P.W.
16178,55,109,Goetz,Thomas
1962,23,39,McCrudden,Matthew T.
149283,153,448,Mayer,Richard E.
12057,51,193,Jain,Sachin
-,-,-,Muis,Krista R.
15062,57,145,Goldhaber,Dan
6156,21,23,Chava,Sudheer
-,-,-,Edelen,Roger M.
90841,125,1397,Li,Jun
27883,67,128,Black,Bernard
43771,104,313,Da,Zhi
1012,12,12,Chod,Jiri
13633,33,42,Bushman,Robert
-,-,-,Agnes Cheng,C.S.
1790,7,7,Barnea,Amir
43771,104,313,Da,Zhi
2536,12,12,Low,Angie
50401,95,281,Hong,Harrison
-,-,-,Yachison,Sarah
2748,28,42,Rudasill,Kathleen Moritz
1728,17,21,Fiorella,Logan
-,-,-,Ladd,Gary W.
443,8,7,Gajda,Aleksandra
3551,28,51,Powell,Sarah R.
24538,54,81,Ilies,Remus
4541,38,76,Kim,Young-Suk
5647,27,37,Patall,Erika A.
-,-,-,Hallett,Darcy
5716,37,69,McBride,Brent A.
478,6,5,Litschig,Stephan
474,11,12,Bar,Talia
1355,14,17,Lindqvist,Erik
1810,17,21,Maher,Stephen
-,-,-,ZlatoviÄ‡,Miran
-,-,-,Kim,Hye-Sook
486,11,15,Shank,Daniel B.
9044,39,209,Ali,Liaqat
7844,22,26,Junco,Reynol
2340,20,24,Jang,Syh-Jong
17455,68,333,Zhao,Ling
-,-,-,Savage,Robert S.
1386,20,45,Mao,Xia
173,8,4,Park,Seong Ik
1027,16,24,Yamada,Masanori
-,-,-,Coller,B.D.
-,-,-,McKinney,Dani
1455,20,29,Lan,Yu-Ju
880,13,13,Patchan,Melissa M.
-,-,-,Fleischhauer,Monika
544,10,10,Hjort,Jonas
811,7,6,Chen,Yuanyi
2770,21,24,Seethaler,Pamela M.
-,-,-,Costa,Dora L.
3817,36,80,Agadjanian,Victor
-,-,-,Gilchrist,Duncan Sheppard
-,-,-,Autor,David H.
550,11,13,McDevitt,Ryan C.
-,-,-,Steinglass,Joanna E.
220876,211,1032,Lees,J.
-,-,-,Stilo,S. A.
1573,21,29,Garthus-Niegel,S.
164,6,5,Sidlauskaite,J.
211,8,7,Rimvall,M. K.
355,10,10,Dougherty,L. R.
2019,24,41,Carragher,N.
19,3,1,Tanji,F.
2210,28,46,Nelson,B. D.
1691,21,31,CarriÃ³n,R. E.
7081,43,72,Wiberg,P.
3052,25,41,Smieskova,R.
-,-,-,Ridsdale,L.
-,-,-,Kasen,S.
-,-,-,van Wingen,G. A.
38821,75,155,Moran,P.
-,-,-,Scholes,K. E.
5651,33,101,Toal,F.
6064,40,88,Schomerus,G.
-,-,-,Goodwin,R.Â D.
-,-,-,O'Connor,D. W.
11447,57,125,Knight,George P.
9489,53,90,Hou,Yang
-,-,-,Oudekerk,Barbara A.
-,-,-,Tsai,Kim M.
8823,42,81,Coley,Rebekah Levine
-,-,-,Solheim,Elisabet
8315,38,81,Murayama,Kou
1690,16,20,Kim,Sanghag
1498,14,18,Haydon,Katherine C.
-,-,-,Pauletti,Rachel E.
44217,93,182,Wellman,Henry M.
4702,38,87,Lyon,Thomas D.
9202,46,90,Ronald,Angelica
-,-,-,Mehta, Neil K.
8043,40,63,Brown, Susan L.
164,5,3,NOZAWA,YOSHIO
788,10,10,KUNG,HOWARD
7248,41,139,AGARWAL,VIKAS
142,5,5,Rudolph,Julia
-,-,-,Nielen,Thijs M.J.
5238,34,58,Peterson,Elizabeth R.
6372,44,75,Mason,Lucia
-,-,-,Uecker,Jeremy E
7280,15,20,Melamed,D.
1290,19,35,Erola,J.
-,-,-,Glass,C. M.
7601,47,91,Hipp,J. R.
1054,14,15,Watts,Tyler W.
510,9,9,Guajardo,Jose A.
1070,5,4,Gopinath,Shyam
379,6,4,Murtha,Brian R.
946,14,18,Coker,David L.
92,6,4,Hofer,Sarah I.
-,-,-,Berendes,Karin
-,-,-,Duckworth,Angela L.
501,15,19,Lin,Tzu-Jung
4583,31,48,McNeil,Nicole M.
-,-,-,FernÃ¡ndez-Alonso,RubÃ©n
-,-,-,Leung,Kim Chau
6442,38,69,Nagengast,Benjamin
7686,49,117,Becker,Michael
-,-,-,Stoeger,Heidrun
555,15,17,Dumas,Denis
3595,28,35,O'Connor,Erin E.
-,-,-,Butcher,Kirsten R.
-,-,-,Tibus,Maike
-,-,-,Reinhart,Alyssa L.
-,-,-,van der Kooy-Hofland,Verna A. C.
-,-,-,Bulotsky-Shearer,Rebecca J.
-,-,-,Hughes,Jan N.
-,-,-,Eason,Sarah H.
81168,98,224,Roberts,Greg
-,-,-,Kartal,GÃ¼nizi
37613,90,238,Pekrun,Reinhard
1934,17,20,Cho,Jeung-Ryeul
791,11,11,He,Guojun
-,-,-,Ward,Courtney J.
1080,15,16,Durkin,Kelley
370,12,14,Blix,Ines
-,-,-,Bluffstone,Randall A.
-,-,-,Ward,Catherine D.
-,-,-,Du,Luosha
500,11,13,Clark,Benjamin Y.
534,11,11,Clark,Jonathan R.
322,9,9,Merluzzi,Jennifer
-,-,-,Lount,Robert B.
7106,28,49,Edelman,Benjamin
11,2,0,Chakravarti,Arjun
-,-,-,Mayer,Kyle J.
12033,33,46,Le Breton-Miller,Isabelle
19552,47,121,Dull, Matthew
1632,21,40,Brom,Cyril
-,-,-,Ragan,Eric D.
947,11,12,Zhong,Zhi-Jin
2865,18,27,de-Marcos,Luis
2285,24,28,Liu, Kayuet
46461,58,90,Silver,D.
835,10,10,Carnabuci,G.
-,-,-,Swanson,H. Lee
992,20,30,Sweller,Naomi
8444,42,53,Popper,Micha
23908,48,64,Chetty,Raj
-,-,-,CÃ©lÃ©rier,Claire
3798,24,39,Aizer,Anna
-,-,-,Coyne,Michael D.
-,-,-,Kettler,Ryan J.
-,-,-,Jenkins,Joseph R.
1702,21,34,Hong,Huang-Yao
790,14,18,Lin,Chin-Hsi
-,-,-,Hatlevik,Ove E.
-,-,-,Rau,Martina A.
3463,32,79,Greiff,Samuel
-,-,-,Ã‡evik,Yasemin Demiraslan
3205,29,66,Yang,Tzu-Chi
718,15,17,Yilmaz,Rabia M.
356,9,9,Balaban,Igor
1456,16,22,Cheung,Ronnie
427,13,16,Salas-Morera,Lorenzo
580,12,14,Chang,Ting-Wen
700,11,12,Chow,Meyrick
678,14,18,Raes,Annelies
-,-,-,SaÃ§kes,Mesut
-,-,-,Liu,Shih-Hsiung
-,-,-,Miller,Leslie M.
-,-,-,Yang,Heng-Li
4331,20,26,Hoberg,Gerard
352,9,9,Stoop,Jan
61628,127,633,Cohen,Lauren
2188,26,43,Montero-Marin,Jesus
1566,17,23,Hirschtritt,M. E.
-,-,-,Foster,D. G.
27059,44,96,Burstein,M.
-,-,-,DeVylder,J. E.
-,-,-,van Gastel,W. A.
101,6,3,Woodhead,C.
853,15,19,Luck,T.
7553,40,120,Gavrilescu,M.
184,8,7,Moding,Kameron J.
264,10,10,Ronfard,Samuel
8593,48,113,Wu,Yang
200,7,7,Vilgis,Veronika
-,-,-,Jagers,Robert J.
-,-,-,Sandoval,Michelle
1858,20,33,Williford,Amanda P.
53,5,2,Cheung,Hoi Shan
-,-,-,Green,Dorota
-,-,-,Kirkorian,Heather L.
4397,37,58,Thijs,Jochem
-,-,-,Adachi,Paul J.C.
462,13,15,Smith Watts,Ashley K.
6653,44,82,Lewkowicz,David J.
-,-,-,Schermerhorn,Alice C.
-,-,-,Saine,Nina L.
36739,106,345,Vitaro,Frank
-,-,-,Hay,Dale F.
2048,20,29,Pauker,Kristin
704,7,7,Sequeira,Sandra
66673,102,223,Card,David
885,10,10,Abaluck,Jason
3231,20,21,Baum-Snow,Nathaniel
-,-,-,Ellul,Andrew
1008,9,9,BENA,JAN
736,9,8,Hill,Daniel W.
-,-,-,BrÃ¥ten,Ivar
629,9,9,Wang,Aubrey H.
5826,31,47,Rowe,Meredith L.
-,-,-,Guay,FrÃ©dÃ©ric
-,-,-,Vukovic,Rose K.
2130,27,62,Rich,Yisrael
275,4,3,Balass,Michal
49,5,2,Georgiou,George K.
10886,44,73,Klassen,Robert M.
6402,28,39,Harding,David J
425,11,14,Keuschnigg,Marc
1231,21,26,Doan,Long
3302,22,33,Montez,J. K.
20156,70,338,Bol,T.
-,-,-,Longest,K. C.
46272,110,301,Faris,R.
-,-,-,Dwyer,R. E.
4326,39,78,Hawdon,J.
123859,76,139,Zhang,J.
447,7,6,Redding,Christopher
-,-,-,Blanchard,Margaret R.
6701,34,53,Morgan,Paul L.
6701,34,53,Morgan,Paul L.
563,11,12,Quinn,David M.
8476,46,136,Benbenishty,Rami
15062,57,145,Goldhaber,Dan
