Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,PeÃ±a,Marcela
-,-,-,Leotti,Lauren A.
-,-,-,Gee,Dylan G.
757,16,21,Radke,Sina
2984,19,28,Laurin,Kristin
934,7,7,Lee,Daniel H.
1786,18,19,McFerran,Brent
1258,16,21,Kan,Kees-Jan
-,-,-,Little,Jeri L.
-,-,-,Emery,Charles F.
-,-,-,Levinson,Daniel B.
33889,95,231,Hulme,Charles
687,7,7,Sloane,Stephanie
-,-,-,Ma-Kellams,Christine
-,-,-,Larrick,Richard P.
4742,33,43,Moreno,Sylvain
1398,22,31,Worthy,Darrell A.
-,-,-,Raffray,Claudine N.
6087,25,38,Carney,Dana R.
32530,87,188,Simpson,Jeffry A.
1468,19,26,Savani,Krishna
-,-,-,Wirth,James H.
-,-,-,Linkenauger,Sally A.
5527,34,58,Frassinetti,Francesca
1536,16,21,Sachdeva,Sonya
4861,12,12,Wathne,Kenneth H.
-,-,-,Jung,Minah H.
-,-,-,Davis,Derick F.
2339,18,22,Hamilton,Rebecca W.
299,8,7,Gijsenberg,Maarten J.
-,-,-,Toker-Yildiz,Kamer
-,-,-,Lowe,Michael L.
-,-,-,Busse,Meghan R.
14,2,1,Putnam-Farr,Eleanor
3076,27,44,Min,Sungwook
606,10,10,Etkin,Jordan
92097,114,460,Kumar,V.
-,-,-,Gardete,Pedro M.
13576,57,180,Lee,Leonard
2653,10,10,Bart,Yakov
-,-,-,Hildebrand,Christian
-,-,-,Durante,Kristina M.
-,-,-,Newman,George E.
743,11,11,Luo,Lan
826,11,12,Sela,Aner
-,-,-,Huang,Qingyi
456,9,9,Suk,Kwanho
2505,11,12,van Den Bergh,Bram
191,8,7,Usta,Murat
284,6,4,Kurt,Didem
1434,11,12,Herzenstein,Michal
17873,26,27,Ganesan,Shankar
-,-,-,Small,Deborah A
2059,14,14,Van Everdingen,Yvonne
127,6,5,Snapper,Leslie
-,-,-,Myllyneva,Aki
5279,29,47,Amso,Dima
-,-,-,Germine,Laura T.
1042,10,10,Nall,Clayton
2836,19,22,Ryan,Timothy J.
458,11,12,Hall,Matthew E.K.
4723,32,45,Tavits,Margit
5364,26,31,Kam,Cindy D.
-,-,-,Ireland,Jane L.
-,-,-,Mitchell,Marie S.
1049,17,20,Zoogah,David B.
-,-,-,Albrecht,Arne K.
2724,23,38,Huber,JÃ¼rgen
-,-,-,MarroquÃ­n,Brett
-,-,-,StÃ¥hl,Tomas
12579,40,55,Walton,Gregory M.
218,6,5,Marguc,Janina
864,11,13,Baker,Levi R.
3810,25,40,Leung,Angela K.-Y.
-,-,-,Fincham,Frank D.
-,-,-,Mojzisch,Andreas
-,-,-,Critcher,Clayton R.
2591,29,41,Poortman,Anne-Rigt
243,10,10,Yahirun,Jenjira J.
257,10,10,Noah,Aggie J.
3189,29,40,Clark,Shelley
26525,70,132,Ory,Brett
227,8,6,Mazelis,Joan Maya
-,-,-,Kahn,Joan R.
1360,19,25,Verhoeven,Marjolein
-,-,-,Odom,Erica C.
3189,29,40,Clark,Shelley
-,-,-,Schindler,Holly S.
-,-,-,Jose,Anita
3456,28,44,Mishra,Saurabh
-,-,-,KÃ¤hr,Andrea
3409,23,28,Eichstaedt,Johannes C.
-,-,-,Cosman,Joshua D.
252,8,7,Joseph,Jane E.
1853,26,51,PICKETT,JUSTIN T.
9720,35,42,Ailawadi,Kusum L.
1124,23,33,Chakravarty,Anindita
-,-,-,LourenÃ§o,Carlos J.S.
6430,38,65,Van Heerde,Harald J.
96,3,2,Savary,Jennifer
100913,127,1033,Zhang,Wei
3314,16,18,Yang,Xiaojing
4947,26,34,Duhachek,Adam
50726,101,309,Homburg,Christian
1890,16,18,Katona,Zsolt
-,-,-,Kang,Wooseong
1041,11,13,Koo,Minjung
995,12,13,Ng,Sharon
-,-,-,Zhu,Rui (Juliet)
-,-,-,Sandra,Dasha A.
103,5,3,Reilly,Megan
-,-,-,Hartanto,Andree
3684,30,54,Kahane,Guy
634,13,15,Stenner,Max-Philipp
146,6,6,Jarvstad,Andreas
458,15,17,Wu,Yan Jing
-,-,-,Barakat,Brandon K.
970,13,13,Schweitzer,N.J.
1774,20,24,Shtulman,Andrew
9828,54,119,Vroomen,Jean
800,15,17,Srinivasan,Mahesh
5870,43,76,Rakoczy,Hannes
-,-,-,Hjortskov,Morten
152,6,4,Jiang,Junyan
-,-,-,Schuit,Sophie
522,12,13,Einstein,Katherine Levine
229,7,7,Thrower,Sharece
1219,18,21,Newman,Benjamin J.
-,-,-,Konisky,David M.
1435,14,22,Hidalgo,F. Daniel
40223,68,145,Iyengar,Shanto
2454,14,17,Lacina,Bethany
1179,12,13,Way,Christopher
-,-,-,McKibben,Heather Elko
-,-,-,Howell,William G.
2708,23,27,Colaresi,Michael
57382,90,444,Adams,James
508,10,10,Harbridge,Laurel
5635,35,86,Lazarus,Jeffrey
10953,55,96,Lubell,Mark
