Citation All,h-index All,i10-index All,First_Name,Last_Name
1853,26,51,PICKETT,JUSTIN T.
278753,229,1808,Yang,Yang
-,-,-,LeBoeuf,Robyn A.
-,-,-,Deleersnyder,Barbara
483,10,11,Pluut,Helen
-,-,-,ten Brummelhuis,Lieke L.
4990,30,38,Balliet,Daniel
83,4,4,Wilmers,Nathan
2576,20,29,Baldassarri,Delia
-,-,-,Trapido,Denis
9027,30,35,Schofer,Evan
-,-,-,Edelman,Lauren B.
180,6,6,Flaherty,Jeremy
17137,38,72,Wimmer,Andreas
-,-,-,Huber,John D.
-,-,-,Schneider,Christina J.
1647,21,29,Lindvall,Johannes
178,7,6,Conroy,Dominic
-,-,-,Baucom,Katherine J. W.
-,-,-,Jakubowski,Karen P.
-,-,-,Dunaev,Jamie L.
3508,21,28,Shankar,Aparna
-,-,-,Koschwanez,Heidi
265,8,8,Jose,Rupa
3923,33,54,Puterman,Eli
-,-,-,Hendrickson,Kelsie L.
889,18,21,Heisz,Jennifer J.
-,-,-,Brunet,Jennifer
-,-,-,DuBenske,Lori L.
19785,77,237,Rhodes,Ryan E.
1,1,0,Gerend,Mary A.
-,-,-,Berry,Tanya R.
-,-,-,Midei,Aimee J.
838,16,24,Smith,Amy Erica
1926,17,19,Robertson,Graeme
5232,31,47,Banducci,Susan
1181,20,31,Wenzelburger,Georg
1219,18,21,Newman,Benjamin J.
3995,21,24,Canes-Wrone,Brandice
1739,20,31,Singer,Matthew M.
5287,40,86,Messer,Anne
738,11,12,Benson,Michelle
-,-,-,Bertelli,Anthony M.
-,-,-,Bertelli,Anthony M.
1654,13,17,Koger,Gregory
735,10,10,Marlow,Shannon L.
-,-,-,Usmani,Adaner
1,1,0,Lynch,Mona
2793,29,47,Viljoen,Jodi L.
5502,32,47,PAPACHRISTOS,ANDREW V.
4499,28,37,SCHAEFER,DAVID R.
1613,23,30,YOUNG,JACOB T. N.
21012,57,97,Lee,Kibeom
-,-,-,Leeson,Peter T.
-,-,-,KUHL,DANIELLE C.
4293,37,110,Wilson,Robert E.
941,5,5,Venkataramani,Vijaya
891,13,14,Kennedy,Jessica A.
3972,29,41,Windschitl,Paul D.
7456,48,117,Baer,Markus
3302,23,28,Goncalo,Jack A.
6006,24,25,Sonenshein,Scott
1663,16,16,Brooks,Alison Wood
-,-,-,Overbeck,Jennifer R.
654,7,7,Imai,Lynn
-,-,-,Ã‡akmaklÄ±,AnÄ±l DivarcÄ±
3418,23,34,Elliott,James R.
2576,20,29,Baldassarri,Delia
3448,20,22,Andrews,Kenneth T.
778,12,14,Steil,Justin Peter
1249,17,21,Cole,Wade M.
1353,18,24,Choi,Susanne Y. P.
492,9,8,Kollmeyer,Christopher
1522,12,14,Galasso,Alberto
6275,30,40,Muralidharan,Karthik
