Citation All,h-index All,i10-index All,First_Name,Last_Name
600,10,10,BABENKO,ILONA
29599,53,99,Enders,Walter
337,6,5,Garriga,Ana Carolina
-,-,-,FernÃ¡ndez-Albertos,JosÃ©
19,3,0,Zakharova,Maria
136,5,5,Barber,Benjamin
-,-,-,PÃ©rez-ArmendÃ¡riz,Clarisa
-,-,-,Grigoryeva,Angelina
718,11,12,Hirsh,C. Elizabeth
736,9,8,HILL,DANIEL W.
1014,15,15,Hakhverdian,Armen
16092,56,198,Lutz,Wolfgang
-,-,-,Shelef,Nadav G.
-,-,-,Hegre,HÃ¥vard
2412,23,29,Tir,Jaroslav
4556,26,52,Miller,Ross A.
-,-,-,Ratner,Ely
2590,14,16,Cunningham,David E.
402,10,11,Rosset,Jan
10678,47,102,Wlezien,Christopher
-,-,-,Adida,Claire L.
1259,13,15,Goodman,Sara Wallace
3317,25,47,Anduiza,Eva
-,-,-,Kage,Rieko
854,15,17,Smith,Jason Matthew
-,-,-,BÃ¶rzel,Tanja A.
-,-,-,Dettrey,Bryan J.
18183,30,53,Bingham Powell,G.
-,-,-,Buckley,Pamela
1293,15,18,Gershenson,Seth
-,-,-,Olson,Carol Booth
4969,32,53,Grissom,Jason A.
478,10,10,Weiss,Mona
1704,13,14,Georgakakis,Dimitrios
99,3,2,Trichas,Savvas
3649,28,53,Kafetsios,Konstantinos
-,-,-,Antes,Alison L.
23339,60,114,Day,David V.
-,-,-,Nemanich,Louise A.
275,5,5,Piazza,Alessandro
-,-,-,Dumas,Tracy L.
22869,59,413,Farooq,Omer
8407,28,39,Berrone,Pascual
1596,17,18,Chen,Guoli
454,7,6,Cox Pahnke,Emily
585,10,10,Priesemuth,Manuela
-,-,-,Trougakos,John P.
34764,70,166,Autio,Erkko
47160,99,200,Shepherd,Dean A.
8,1,0,Shin,Jiseon
12905,47,57,Mayer,David M.
8130,40,67,Durand,R.
2446,14,16,Heimeriks,Koen H.
1344,11,11,Vissa,Balagopal
-,-,-,Hekman,David R.
11921,39,58,Joshi,Aparna
5312,28,34,Hirst,Giles
6209,45,72,Gottfried,Michael
60,3,1,King,Matthew T.
3551,28,51,Powell,Sarah R.
-,-,-,Wong,Venus W.
1931,23,45,Gage,Nicholas A.
-,-,-,Newman,Lynn A.
3551,28,51,Powell,Sarah R.
982,12,14,Hartley,Michael T.
-,-,-,Dunst,Carl J.
-,-,-,Farmer,Thomas W.
-,-,-,Simmons,Deborah C.
-,-,-,Brownell,Mary T.
-,-,-,Pilkauskas,Natasha V.
44,3,2,Kucheva,Yana
-,-,-,Mikolai,JÃºlia
3138,20,30,Delavande,Adeline
-,-,-,Alexander,J. Trent
4882,27,40,Desmond,Matthew
-,-,-,Nedoluzhko,Lesia
1550,19,35,Helleringer,StÃ©phane
222,9,9,Dillender,Marcus
2178,25,39,Reniers,Georges
5744,23,30,Joyner,Kara
397,11,12,DeWaard,Jack
-,-,-,Dariotis,Jacinda K.
664,7,5,Kaur,Supreet
3449,29,45,Mitra,Anirban
-,-,-,Kessler,Anke S.
10607,49,96,Kehoe,Timothy J.
-,-,-,Cabizuca,Mariana
8474,46,89,Haworth,Claire M. A.
-,-,-,Amsterlaw,Jennifer
18081,50,77,Fisman,Raymond
-,-,-,Bettinger,Eric P.
9390,39,53,Levinson,Arik
90027,77,186,Rajan,Raghuram
-,-,-,Jacobsen,Mark R.
11087,28,35,Amiti,Mary
42800,53,95,Bertrand,Marianne
5428,26,50,Field,Erica
26457,64,160,Ottaviano,Gianmarco I. P
3028,25,53,Dahl,Gordon B
22735,36,45,Ellison,Glenn
-,-,-,BÃ³,Pedro Dal
6457,25,30,Ashraf,Nava
365,6,6,Porter,Ethan
19,2,1,Holm,Jakob Majlund
717,15,16,McDonald,B. D.
-,-,-,Garrow,Eve E.
1060,18,25,Herian,M. N.
2664,28,44,Feeney,M. K.
7720,34,48,Soss,J.
6928,36,117,Hood,C.
23314,55,88,KAROLYI,G. ANDREW
1842,10,10,CHENG,ING-HAW
2097,9,9,FANG,VIVIAN W.
64317,92,221,BECK,THORSTEN
1846,8,7,FRACASSI,CESARE
1884,10,10,JULIO,BRANDON
9106,40,58,CESARINI,DAVID
2527,15,18,DICK,ASTRID A.
-,-,-,HUIZINGA,HARRY P.
98552,100,193,ROBERTS,MICHAEL R.
840,15,17,Ben-Eliyahu,Adar
-,-,-,Aelenei,Cristina
1201,15,17,Chen,Jason A.
1728,17,21,Fiorella,Logan
3322,26,40,Bol,Linda
3684,21,32,Zusho,Akane
-,-,-,Boone,Audra L.
6485,29,45,Greenwood,Robin
2509,16,16,Gormley,Todd
900,17,30,Wenger, Jeffrey B.
-,-,-,Algozzine,Bob
2738,25,31,Doren,Bonnie
10244,58,141,Carter,Erik W.
2722,24,43,Osborne,Lisa A.
-,-,-,Kirby, James B.
1691,23,35,Park, Julie
-,-,-,Steele, Fiona
2624,26,45,Akbulut,Yavuz
493,12,13,Mazumdar,Soumya
-,-,-,Llop,Sabrina
567,13,18,Morris,David S.
37,3,1,Colaner,Anna C.
11513,30,62,Taylor,Joseph A.
3804,25,49,Sullivan,Alice
65793,122,338,Stater,Mark
11,1,1,Kalmanovich-Cohen,Hanna
1084,6,6,Liao,Chenwei
62,4,1,Koseoglu,Gamze
-,-,-,Partlow,Paul J.
1320,18,22,Zhang,Xin-an
46855,73,104,Liden,Robert C.
973,15,16,Ogunfowora,Babatunde
-,-,-,van Ginkel,Wendy P.
-,-,-,Yang,Shih-ying
3117,24,40,Chun,Jae Uk
-,-,-,CrÃ©pon,Bruno
