Citation All,h-index All,i10-index All,First_Name,Last_Name
-,-,-,DÃ¼r,Andreas
-,-,-,Garland,Marshall W.
43,3,2,Quamruzzaman,Amm
1264,12,13,Hideg,Ivona
-,-,-,Steffens,Niklas K.
148,5,3,Wyatt,Madeleine
-,-,-,Tskhay,Konstantin O.
-,-,-,Kalysh,Kateryna
621,9,9,Nohe,Christoph
221,5,4,Cheong,Minyoung
2215,16,16,Rosette,Ashleigh Shelby
-,-,-,Sadri,Golnaz
-,-,-,Li,Wen-Dong
23908,48,64,Chetty,Raj
117147,127,261,Lewis,E.
42800,53,95,Bertrand,Marianne
1117,17,22,Yeatman,Sara
755,13,15,Agranov,Marina
6275,30,40,Muralidharan,Karthik
-,-,-,Snyder,JamesÂ M.
3386,25,35,Antecol,Heather
1308,21,29,Kessler,Judd B.
1019,18,25,Ennser-Jedenastik,Laurenz
1400,20,26,Lavertu,StÃ©phane
158280,156,333,James,O.
13043,48,148,van Witteloostuijn,A.
-,-,-,Oberfield,Z. W.
1723,17,20,Pitts,D. W.
31238,36,47,Damanpour,F.
-,-,-,Alleva,Jessica M.
24753,81,181,BRADLEY,DANIEL
19047,29,34,FACCIO,MARA
591,12,15,Najeeb Shafiq,M.
-,-,-,Fox,Gerald T.
1435,14,22,Hidalgo,F. Daniel
-,-,-,De Ferrari,Ignazio
4936,29,38,Remmer,Karen L.
-,-,-,AytaÃ§,S. Erdem
2298,20,28,Canache,Damarys
4394,27,44,Sheafer,Tamir
3320,23,26,Crepaz,Markus M. L.
2947,23,29,Rehm,Philipp
1730,15,16,Lagakos,David
5402,41,98,Wang,Fang
-,-,-,Hillman,Nicholas W.
4061,21,24,Palardy,Gregory J.
-,-,-,Silverman,Sarah K.
23174,58,108,Heck,Ronald H.
201,4,3,Naseer,Saima
51508,103,826,Zhang,Yan
6016,36,41,Cole,Michael S.
-,-,-,LÃ³pez-Salido,David
-,-,-,Fryer,Roland G.
4091,21,24,Matsa,D. A.
13748,49,79,Finkelstein,Amy
-,-,-,Bottge,Brian A.
-,-,-,Boswell,Katelyn
-,-,-,Bottge,Brian A.
-,-,-,Behrman,Julia Andrea
438,11,11,Vitali,Agnese
-,-,-,Penner,Andrew M.
12996,36,53,Hall,Matthew
-,-,-,Kaneshiro,Matheu
3342,30,57,Kulu,Hill
10131,50,109,Raphael,Steven
-,-,-,Liang,James
5834,34,51,Donaldson,Dave
1365,8,8,Handley,Kyle
1166,13,14,Alsan,Marcella
94539,114,273,Aghion,Philippe
1308,21,29,Kessler,Judd B
83115,103,344,Reinhart,Carmen M
1282,11,12,Tanaka,Tomomi
6,2,0,Benjamin,Daniel J
250,9,9,Lu,Jiahuan
2071,19,24,Sabharwal,M.
-,-,-,Terman,Jessica N.
-,-,-,Kiefer,Tina
2017,20,25,Nowell,Branda
30897,74,246,Zhan,X.
10846,52,124,Lee,P.-C.
590,14,19,Teodoro,Manuel P.
394,13,16,Atkins,D. N.
-,-,-,Shrestha,M. K.
-,-,-,Gade,D. M.
-,-,-,Yackee,S. W.
-,-,-,Oosterwaal,A.
1107,6,6,Gallo,N.
454,10,10,Villadsen,A. R.
-,-,-,Moynihan,D. P.
6667,37,67,Carroll,D. A.
3625,24,35,CARVALHO,DANIEL
