Citation All,h-index All,i10-index All,First_Name,Last_Name
3585,24,52,Christensen,Robert K
355,7,5,Puspitasari,Ajeng J.
54182,115,260,Stice,Eric
30607,86,152,Abikoff,Howard
-,-,-,Donenberg,Geri R.
-,-,-,Butler,Daniel M.
-,-,-,Ihme,Toni Alexander
57476,90,1337,Zhang,Nan
162,6,5,Kingsley,David C.
-,-,-,Enos,Ryan D.
36928,81,168,Green,Donald P.
72,3,2,Costa,Mia
849,15,21,Li,Xiaojun
2032,15,16,Barber,Michael
1538,18,23,Bechtel,Michael M.
216363,206,1053,Allen,Barbara
-,-,-,Boas,Taylor C.
2836,19,22,Ryan,Timothy J.
2596,22,30,Dowling,Conor M.
156,5,5,Sumaktoyo,Nathanael Gratias
356,9,9,Gubler,Joshua Ronald
36928,81,168,Green,Donald P.
-,-,-,Battaglini,Marco
2656,21,25,Searles,Kathleen
7860,29,51,Nyhan,Brendan
1035,15,16,Krupnikov,Yanna
1132,14,16,Al-Ubaydli,Omar
1339,15,17,Clifford,Scott
2185,18,22,Broockman,David E.
391,8,8,Mironova,Vera
5265,33,64,Brache,Jose
1514,18,22,Martin,IsaacÂ William
1500,21,46,Chatterjee,Chirantan
10469,56,161,Hill,L.M.
3897,28,48,Zajacova,Anna
2280,26,44,van der Meulen Rodgers,Yana
3631,33,60,Markowitz,Sara
505,12,14,Richardson,Eugene T.
100,6,4,Lee,Juyeon
-,-,-,Van Dyke,Miriam E.
560,6,4,Kusuma,Dian
88,5,4,Kim,Younoh
6204,18,28,Engel,L.
731,16,24,Xu,Hongwei
-,-,-,Tomata,Yasutake
782,14,16,Wu,Qiaobing
-,-,-,Bean,Christopher G.
3025,26,35,Cornwell,Benjamin
1129,18,22,Bauldry,Shawn
11002,54,203,Cruz,Taylor M.
372,5,3,Hajizadeh,Mohammad
24387,77,205,Moen,Phyllis
-,-,-,Morrissey,Taryn W.
2904,28,40,Ziol-Guest,Kathleen M.
-,-,-,Okeke,Edward N.
1255,19,31,Youde,Jeremy
-,-,-,Smith Fawzi,Mary C.
-,-,-,Ariizumi,Hideki
8119,33,54,Harel-Fisch,Yossi
872,13,15,Paxson,Christina
-,-,-,McLaughlin,Katie A.
-,-,-,van den Boogaard,Th. Michael
-,-,-,Stoddard,Pamela
-,-,-,Wright,Annemarie
-,-,-,Ishida,Kanako
-,-,-,Patterson,Andrew C.
1825,20,23,Aakvik,Arild
27,1,1,Allin,Sara
3795,23,36,Mair,Christina
2457,28,64,Miller,Edward Alan
-,-,-,Pickett,Kate E.
-,-,-,Ben-Arye,Eran
-,-,-,Gyimah,Stephen Obeng
-,-,-,Seib,Charrlotte
-,-,-,Cooper,Kristy S.
2832,18,22,Seaton,Marjorie
1280,17,24,Hendricks,Lutz
806,6,6,Baron,Matthew
13750,59,150,Atkin,David
3653,23,37,Haushofer,Johannes
-,-,-,Vogl,Tom S.
66673,102,223,Card,David
1543,12,13,Barreca,Alan
3937,20,25,Sprenger,Charles
673,9,9,Persson,Petra
-,-,-,Morgenstern,Jon
3682,22,29,Fournier,Jay C.
-,-,-,Shahar,Eldad
-,-,-,Hierro,MarÃ­a JosÃ©
3452,28,43,Gibler,Douglas M.
2979,22,26,Berrebi,Claude
158,5,3,Brown,Robert L.
4036,16,20,Koremenos,Barbara
19737,69,110,Dreher,Axel
359,10,10,Wallace,Geoffrey P. R.
-,-,-,Behrendt,Hadar
1772,21,27,Fuhrmann,Matthew
-,-,-,Akcinaroglu,Seden
1212,16,19,Kisangani,Emizet F.
1364,14,17,Leibbrandt,Andreas
637,12,14,Clare,Joe
7707,38,60,Gartzke,Erik
343,9,9,Clayton,Amanda
-,-,-,Belchior,Ana Maria
-,-,-,Horne,Cynthia M.
15795,37,54,Mian,Atif
4295,23,28,Baird,Sarah
-,-,-,Pinkovskiy,Maxim
653,9,9,Squicciarini,Mara P.
15795,37,54,Mian,Atif
-,-,-,Dal BÃ³,Ernesto
-,-,-,Fryer,Roland G.
1665,8,8,Lee,David S.
3683,14,14,Ahern,Kenneth R.
1595,13,13,Kellogg,Ryan
-,-,-,Carrell,Scott E.
-,-,-,Lileeva,Alla
3074,26,40,Anderson,Eric T.
14628,56,314,Ferreira,Fernando
3189,17,18,Beaman,Lori
4773,33,83,Davis,Joseph H.
27931,68,513,Mas,Alexandre
3423,26,33,Jepsen,Christopher
3095,16,16,Bursztyn,Leonardo
5883,29,39,Aaronson,Daniel
3485,19,20,Levav,Jonathan
-,-,-,Gerardi,KristopherÂ S.
11715,45,74,Gorodnichenko,Yuriy
27741,60,130,Armitage,Christopher J.
8644,34,62,Wittman,Donald
-,-,-,van der Veen,Robert Jan
13287,42,74,Beaudry,Paul
6886,23,25,Kline,Patrick
11152,32,34,Allcott,Hunt
-,-,-,Voors,Maarten J
137,4,3,Alfaro,Laura
11515,39,54,BESSEMBINDER,HENDRIK
3702,22,26,DAHLQUIST,MAGNUS
2098,25,50,CIPRIANI,MARCO
287,6,6,DEFUSCO,ANTHONY A.
13400,70,164,KELLY,BRYAN
878,8,7,SERFLING,MATTHEW
-,-,-,LONGSTAFF,FRANCIS A.
5654,24,32,GARLAPPI,LORENZO
152,7,6,Wright,Thorin M.
5193,37,78,Boone,Christophe
4844,29,33,Benmelech,Efraim
-,-,-,Bauhr,Monika
370,10,11,Vlandas,Tim
-,-,-,Barta,ZsÃ³fia
1023,16,21,Hiskey,Jonathan T.
-,-,-,Tansey,OisÃ­n
663,11,12,Gray,Julia
-,-,-,Holland,Alisha C.
52,2,1,Turcu,Anca
5566,32,61,Ignazi,Piero
445,10,11,Maeda,Ko
1978,21,27,Hellwig,Timothy
314,7,7,Yadav,Vineeta
3312,32,66,Jennings,Will
-,-,-,Herron,Erik S.
7288,27,33,Wright,Matthew
