Citation All,h-index All,i10-index All,First_Name,Last_Name
101720,68,103,Meyer,John
12607,37,314,Xu,Jun
3640,36,62,Moore,David J.
-,-,-,Lai,Yung-Lung
2278,24,32,Reeves,Andrew
-,-,-,Marschall,Melissa J.
-,-,-,Grose,Christian R.
1772,21,27,Fuhrmann,Matthew
7659,27,37,Juhn,Chinhui
3189,17,18,Beaman,Lori
-,-,-,Chatterji,Aaron K.
7452,42,118,Rich,Robert
3633,34,50,Giuliano,Laura
902,12,13,Ors,Evren
-,-,-,Goodman,Sarena F.
204433,168,486,Heckman,James J.
-,-,-,Altonji,Joseph G.
3266,26,44,Zafar,Basit
8947,46,76,Duncan,Brian
-,-,-,Goerg,SebastianÂ J.Â 
8050,36,58,Garicano,Luis
11468,43,66,Black,Dan
-,-,-,Fox,JeremyÂ T.
-,-,-,CuÃ±at,Vicente
-,-,-,Carrell,ScottÂ E.
396,9,8,FORTUNATO,DAVID
-,-,-,TERTYTCHNAYA,KATERINA
337,8,8,HOLBEIN,JOHN B.
80960,107,290,KING,GARY
3266,19,24,HEALY,ANDREW
30414,60,142,LAITIN,DAVID D.
1472,17,23,GROSSMAN,GUY
14317,39,58,HAINMUELLER,JENS
6238,26,37,DUNNING,THAD
-,-,-,DRUCKMAN,JAMES N.
-,-,-,Rego,ArmÃ©nio
1425,18,27,Pisanski,Katarzyna
36,3,1,Kyweluk,Moira A.
-,-,-,Hurst,Jessie E.
353,6,5,Grabo,Allen
639,7,7,Laidlaw,Kaitlin E.W.
94,4,3,Benozio,Avi
-,-,-,MuÃ±oz-Reyes,Jose A.
-,-,-,TovÃ©e,Martin J.
-,-,-,SkjÃ¦rvÃ¸,Gine Roll
-,-,-,Surbey,Michele K.
-,-,-,Gibson,Mhairi A.
279,9,5,Buchner,Axel
-,-,-,FariÃ±a,Noemi
1372,20,24,Chambon,Valerian
-,-,-,Wenke,Dorit
14704,66,199,Jokela,Markus
1008,14,15,Allen,Timothy A.
6614,38,66,De Vries,Reinout E.
-,-,-,Berrios,Raul
-,-,-,Schaffhuser,Kathrin
1812,16,18,Menaldo,Victor
83,4,4,Wilmers,Nathan
128,6,4,Hofstra,Bas
28189,77,198,Biggs,Michael
170,6,5,Oâ€™Brien,Timothy L.
-,-,-,Abendroth,Anja-Kristin
-,-,-,Kelly,Erin L.
698,15,20,McLaughlin,Heather
2540,24,54,Kim,ChangHwan
-,-,-,Beller,Emily
-,-,-,Lu,Fangwen
-,-,-,FOX,RICHARD L.
-,-,-,HARIRI,JACOB GERNER
9088,34,41,HUTH,PAUL K.
1329,16,20,FOLKE,OLLE
3263,32,41,GALASSO,VINCENZO
1355,14,17,LINDQVIST,ERIK
-,-,-,BERRY,CHRISTOPHER R.
169,8,7,Bizzarro,Fernando
-,-,-,Wilfahrt,Martha
-,-,-,Zhukov,Yuri M.
-,-,-,Lankina,Tomila V.
451,8,8,Eastin,Joshua
931,14,19,Maxwell,Rahsaan
695,11,12,Manger,Mark S.
12943,57,204,Huang,Xu
-,-,-,Reh,Susan
839,18,26,Pfattheicher,Stefan
664,7,7,Case,Charleen R.
4175,23,27,Zhu,Yi
-,-,-,Yudkin,Daniel A.
795,10,10,Hennes,Erin P.
8887,34,46,Bull,Rebecca
4922,39,62,Lupyan,Gary
-,-,-,Fingerman,Karen L.
1154,14,19,Lee,Anthony J.
2042,21,30,Cohen,Emma
-,-,-,NÃ¦ss,Marius Warg
284,8,8,Kulke,Louisa
59,4,3,Yoo,Jiah
-,-,-,Tsai,Claire I.
351,9,9,Ardizzi,Martina
247,8,5,Slone,Lauren K.
-,-,-,Spaepen,Elizabet
20,3,0,Taborda-Osorio,Hernando
